"","NRO","SEXO","EDAD","P1A","P1B","P1C","P1D","P2_1","P2_2","P3A","P3B","P3C","P3D","P4A","P4B","P4C","P4D","P4E","P4F","P4G","P4H","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22.1","P22.2","P23","P24","P25A","P25B","P26","P27","P28A","P28B","P28C","P28D","P28E","P29","P30","P31.1","P31.2","P32","P33.1","P33.2","P34","P35","P36","P37A","P37B","P37C","P37D","P37E","P37F","P38","P39","P40","P41","P42","P43A","P43B","P43C","P44","P45","P46","P47","P48A","P48B","P48C","P48D","P49.1","P49.2","P49.3","P50","P51A","P51B","P51C","P51D","P51E","P51F","P51G","P51H","P51I","P51J","P52A","P52B","P52C","P52D","P53.01","P53.02","P53.03","P53.04","P53.05","P53.06","P53.07","P53.08","P53.09","P53.10","P54.1","P54.2","P54.3","P55","P56","P57","P58","P59A","P59B","P59C","P59D","P59E","P59F","P59G","P60","P61A","P61B","P61C","P61D","P61E","P61F","P61G","P62A","P62B","P62C","P62D","P62E","P63","P64","P65","P66","P67","P68","TFAM","NIVEDU","OCUPA","TRAB","JEFE","JNIVEDU","JOCUPA","JTRAB","SERVHI","BANOS","DOMES","CGAS","REFRI","LAVA","COMPRAS","INGRESO","IDENETNICA","GEDAD","TIPOVIVI","AVIVI","PISTAS","NIVEL","UBIGEO10","estrato","nse1","nsegrup","ESTRATOS","PESO","inseguridad08","inseguridad08100","rank_inseguridad08100","adaptk8.cluster"
"107",116,"Femenino",40,"Aprueba","Aprueba","Aprueba","Aprueba","Por otros aspectos positivos",NA,"Desaprueba","Aprueba","Aprueba","Desaprueba","Mucha","Mucha","Mucha","Alguna","Alguna","Poca","Poca","Alguna","Buena","Igual","Informado","La gente que vive en Lima","Los dueños de las grandes empresas","Los sectores populares, el pueblo","Ambos por igual","Satisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover la economía privada de mercado es la única forma en","5","5","Permanece igual","Permanecerá igual","Permanece igual","Mejorará algo","Nada justificable","Apoyar los intereses políticos de algunos grupos de oposició","Buscar desestabilizar al gobierno","Me siento indiferente / neutral","El gobierno","Ningún impacto","Poco impacto","Muy tolerante","Alguna influencia","No","No","Sí","Sí","Sí","Ninguno/Nadie","Los sindicatos (la GCTP)","Son trabajadores","Quieren y valoran a su país","Bajo nivel educativo","Programa de educación en salud sexual y reproductiva","Programa de prevención del pandillaje y la violencia juvenil","Estudiar una carrera universitaria","Mal","Bien","De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","En desacuerdo","En desacuerdo","No","Serán mejores que los adultos de hoy","Poco","Sí","Sí","En desacuerdo","De acuerdo","De acuerdo","Es muy difícil confiar en los demás","Muy satisfecho","Poder trabajar en lo que me gusta","Los embarazos no deseados","En desacuerdo","De acuerdo","En desacuerdo","En desacuerdo","Violaciones, abusos o acosos sexuales","Asaltos con armas","Secuestro","Robo al paso (de bolso, cartera, celular)","Ninguna frecuencia","Poca frecuencia","Poca frecuencia","Ninguna frecuencia","Poca frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Poca frecuencia","Sí","Sí","Sí","Sí","No llevar mucho dinero consigo","No salir de noche sin compañía","Evitar caminar por zonas apartadas o por lugares que conside","No llevar joyas u objetos valiosos a la vista","Instalar rejas en su domicilio","Evitar los estacionamientos oscuros y mal vigilados","No dejar objetos a la vista en el auto",NA,NA,NA,"La pobreza y las desigualdades sociales","El desempleo","El mal funcionamiento de la justicia","No",NA,NA,"Ha aumentado mucho","Bastante eficaz","Muy eficaz","Muy eficaz","Muy eficaz","Nada eficaz","Muy eficaz","Muy eficaz","La familia","Malo","Malo","Malo","Malo","Muy malo","Muy malo","Muy malo","Malo","Malo","Muy malo","Malo","Muy malo","En la protección de funcionarios","No",NA,"No",NA,NA,4,"Superior universitaria completa","Asalariado sector público","Empleado de rango intermedio del sector privado","Otra persona","Superior universitaria completa","Asalariado sector privado","Funcionario profesional del sector público / ejecutivo profe","Water / inodoro",3,"Sí","Sí","Sí","Sí","Iguales","Entre 3001 y 5000","Mestizo","30 a 44","Departamento en edificio","Medio","Asfaltado en buen estado","Plano","150114            ","Lima Moderna","B","A/B","Lima Moderna - Mujeres",1.03341639280891,1.33519217586764,86.2450333579857,509,4
"108",117,"Femenino",28,"Aprueba","Aprueba","No precisa","No precisa","Porque está trabajando/está tratando de hacer bien las cosas",NA,"Desaprueba","No precisa","No precisa","No precisa","Alguna","Ninguna","Alguna","Poca","Alguna","Poca","Ninguna","Poca","Regular","No precisa","Medianamente informado","La gente que vive en Lima","Los dueños de las grandes empresas","La gente de clase alta, los ricos","Ambos por igual","Insatisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover la economía privada de mercado es la única forma en","No precisa","5","Algo mejor","Mejorará algo","Algo mejor","Mejorará algo","Nada justificable","La falta de atención del gobierno a las demandas de las regi","Apoyar los intereses políticos de algunos grupos de oposició","Estoy totalmente en desacuerdo con ellas","Ninguno de los dos","Poco impacto","Algún impacto","Intolerante","Alguna influencia","No","Sí","Sí","No","Sí","Ninguno/Nadie","Los sindicatos (la GCTP)","Son emprendedores","Quieren y valoran a su país","Falta de oportunidades de trabajo","Programa de educación en salud sexual y reproductiva","Programa para incentivar las cualidades artísticas y deporti","Iniciar un negocio","Regular","No precisa","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","No","No precisa","Nada","Sí","Sí","En desacuerdo","De acuerdo","De acuerdo","Se puede confiar en la mayoría de la gente","","Poder trabajar en lo que me gusta","La falta de trabajo","No precisa","No precisa","No precisa","En desacuerdo","Hurto sin violencia","Violencia callejera","Protestas o huelgas","Robo al paso (de bolso, cartera, celular)",NA,NA,"Regular frecuencia","Ninguna frecuencia","Regular frecuencia","Poca frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Sí","No","No","No","No llevar mucho dinero consigo","No salir de noche sin compañía","Evitar caminar por zonas apartadas o por lugares que conside","No llevar joyas u objetos valiosos a la vista",NA,NA,NA,NA,NA,NA,"El desempleo","El bajo nivel educativo","La poca dureza de las penas","No",NA,NA,"No precisa","Poco eficaz","Bastante eficaz","Bastante eficaz","Bastante eficaz","Nada eficaz","Muy eficaz","Poco eficaz","La familia","Malo","Malo","Malo","No precisa","No precisa","Malo","Malo","Bueno","Malo","Malo","No precisa","Malo","No precisa","No",NA,"No",NA,NA,4,"Superior técnica completa","Ama de casa",NA,"Otra persona","Postgrado","Independiente / cuenta propia","Pequeño empresario (5 a 20 trabajadores)","Water / inodoro",3,"Sí","Sí","Sí","Sí","Mejores","No precisa","Mestizo","18 a 29","Casa independiente","Medio","Asfaltado en buen estado","Plano","150114            ","Lima Moderna","B","A/B","Lima Moderna - Mujeres",1.03341639280891,0.727023015410301,72.888219979873,399,4
"109",118,"Masculino",20,"Aprueba","Desaprueba","No precisa","Aprueba","Porque está trabajando/está tratando de hacer bien las cosas",NA,"Desaprueba","No precisa","Desaprueba","Aprueba","Poca","Poca","Poca","Ninguna","Alguna","Poca","Ninguna","Alguna","Regular","Igual","Informado","La gente que vive en Lima","Los dueños de las grandes empresas","La gente de clase alta, los ricos","Los empresarios extranjeros","Satisfecho","A veces un gobierno autoritario o una dictadura puede ser pr","Promover una mayor participación del Estado en la economía e","4","5","Algo mejor","Mejorará mucho","Permanece igual","Empeorará algo","Algo justificable","El alza o la subida de precios de algunos productos de la ca","Los bajos salarios / sueldos","Me solidarizo con ellas","Ninguno de los dos","Poco impacto","Algún impacto","Tolerante","Poca influencia","Sí","Sí","Sí","Sí","Sí","Ninguno/Nadie","Los sindicatos (la GCTP)","Son creativos","Son pesimistas con su futuro","Falta de oportunidades de trabajo","Programa de educación en salud sexual y reproductiva","Programa para incentivar las cualidades artísticas y deporti","Estudiar una carrera técnica","Regular","Regular","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Sí","Serán mejores que los adultos de hoy","Poco","Sí","Sí","En desacuerdo","En desacuerdo","En desacuerdo","Es muy difícil confiar en los demás","","Ser autosuficiente, no depender de nadie","El SIDA","No precisa","En desacuerdo","En desacuerdo","En desacuerdo","Violaciones, abusos o acosos sexuales","Amenazas e intimidaciones","Asaltos con armas","Actos de vandalismo","Ninguna frecuencia","Ninguna frecuencia","Poca frecuencia","Ninguna frecuencia","Poca frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Poca frecuencia","Ninguna frecuencia","Sí","No","Sí","No","No llevar mucho dinero consigo","No salir de noche sin compañía","Evitar caminar por zonas apartadas o por lugares que conside","Llevar algún arma u objeto defensivo","No llevar joyas u objetos valiosos a la vista","Instalar una alarma en su domicilio","Instalar rejas en su domicilio","Evitar los estacionamientos oscuros y mal vigilados","No dejar objetos a la vista en el auto","Tener un arma en casa","La falta de colaboración ciudadana","La escasez de medios de la Policía","La lejanía de las comisarías","No",NA,NA,"Ha aumentado mucho","Bastante eficaz","Bastante eficaz","Muy eficaz","Bastante eficaz","Nada eficaz","Bastante eficaz","Bastante eficaz","La familia","Malo","No precisa","No precisa","Bueno","Malo","No precisa","Malo","Bueno","No precisa","Malo","Malo","Malo","En la lucha contra la delincuencia callejera","No",NA,"No",NA,NA,5,"Superior técnica incompleta","Estudiante",NA,"Otra persona","Superior universitaria completa","Retirado / jubilado",NA,"Water / inodoro",4,"Sí","Sí","Sí","Sí","Iguales","Entre 2001 y 3000","Mestizo","18 a 29","Casa independiente","Medio","Asfaltado en buen estado","Plano","150114            ","Lima Moderna","A","A/B","Lima Moderna - Hombres",1.10231081899617,1.5099378415828,90.0828557885679,536,4
"110",119,"Masculino",31,"Aprueba","Aprueba","Aprueba","Desaprueba","Porque es demócrata",NA,"Desaprueba","Desaprueba","Desaprueba","Desaprueba","Mucha","Poca","Poca","Poca","Poca","Ninguna","Ninguna","Alguna","Buena","Igual","Bien Infromado","Ambos por igual","Ambos por igual","Ambos por igual","Ambos por igual","Satisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover la economía privada de mercado es la única forma en","5","5","Algo mejor","Mejorará algo","Algo mejor","Permanecerá igual","Nada justificable","Los bajos salarios / sueldos","Buscar desestabilizar al gobierno","Estoy totalmente en desacuerdo con ellas","El gobierno","Poco impacto","Poco impacto","Tolerante","Poca influencia","Sí","No precisa","Sí","No","Sí","El gobierno","Los sindicatos (la GCTP)","Son emprendedores","Son creativos","Bajas remuneraciones","Programa de prevención del pandillaje y la violencia juvenil","Programa para incentivar las cualidades artísticas y deporti","Estudiar una carrera técnica","Muy mal","Regular","En desacuerdo","No precisa","De acuerdo","No precisa","No precisa","En desacuerdo","Sí","Serán peores que los adultos de hoy","Algo","Sí","Sí","En desacuerdo","De acuerdo","De acuerdo","Es muy difícil confiar en los demás","","Ser de utilidad a la sociedad","La violencia (inseguridad ciudadana, pandillaje, terrorismo)","En desacuerdo","En desacuerdo","En desacuerdo","En desacuerdo","Asaltos con armas","Violencia callejera","Venta de drogas","Robo de vehículo","Mucha frecuencia","Poca frecuencia","Mucha frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Regular frecuencia","Poca frecuencia","Sí","Sí","Sí","No","No llevar mucho dinero consigo","No salir de noche sin compañía","Instalar una alarma en su domicilio","Instalar rejas en su domicilio","No dejar objetos a la vista en el auto",NA,NA,NA,NA,NA,"El consumo de drogas","La pobreza y las desigualdades sociales","La poca dureza de las penas","Sí","Robo en vivienda o local","Algo","Ha aumentado mucho","Bastante eficaz","Bastante eficaz","Muy eficaz","Bastante eficaz","Nada eficaz","Bastante eficaz","Bastante eficaz","La familia","Bueno","Bueno","Malo","Malo","Bueno","Malo","Malo","Bueno","Malo","Malo","Malo","Malo","En la protección de funcionarios","No",NA,"No",NA,NA,6,"Superior universitaria completa","Asalariado sector público","Funcionario público de rango medio","Otra persona","Postgrado","Asalariado sector privado","Funcionario profesional del sector público / ejecutivo profe","Water / inodoro",7,"Sí","Sí","Sí","Sí","Iguales","No precisa","Blanco","30 a 44","Casa independiente","Medio","Asfaltado en buen estado","Plano","150114            ","Lima Moderna","A","A/B","Lima Moderna - Hombres",1.10231081899617,0.480019120304955,67.4634382824451,357,1
"111",120,"Masculino",30,"Aprueba","Aprueba","Aprueba","Aprueba","Porque es una buena gestión/un buen gobierno",NA,"Desaprueba","Aprueba","Aprueba","Aprueba","Mucha","Alguna","Alguna","Alguna","Alguna","Alguna","Alguna","Mucha","Buena","Mejor","Medianamente informado","La gente que vive en Lima","Los dueños de las grandes empresas","La gente de clase alta, los ricos","Ambos por igual","Satisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover la economía privada de mercado es la única forma en","6","6","Algo mejor","Mejorará algo","Algo mejor","Mejorará algo","Algo justificable","La falta de atención del gobierno a las demandas de las regi",NA,"Simpatizo con ellas","El gobierno","Ningún impacto","Poco impacto","Tolerante","Ninguna influencia","No","Sí","No","Sí","Sí","El Partido Aprista Peruano","Los sindicatos (la GCTP)","Son individualistas","No tienen interés en cambiar su realidad","Falta de oportunidades de trabajo","Programa de empleo juvenil","Programa para incentivar las cualidades artísticas y deporti","Estudiar una carrera técnica","Muy mal","No precisa","En desacuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","No","Serán iguales que los adultos de hoy","Algo","No","No","En desacuerdo","De acuerdo","De acuerdo","Se puede confiar en la mayoría de la gente","","Poder trabajar en lo que me gusta","El SIDA","En desacuerdo","No precisa","En desacuerdo","En desacuerdo","Asaltos con armas","Secuestro","Fraudes y estafas","Robo en vivienda o local","Mucha frecuencia","Ninguna frecuencia","Regular frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Sí","No","Sí","No","No llevar mucho dinero consigo","No llevar joyas u objetos valiosos a la vista","Instalar una alarma en su domicilio","Evitar los estacionamientos oscuros y mal vigilados","No dejar objetos a la vista en el auto","Tener un arma en casa",NA,NA,NA,NA,"El desempleo","El bajo nivel educativo","La poca eficacia de la Policía","No",NA,NA,"Ha aumentado algo","Poco eficaz","Bastante eficaz","Bastante eficaz","Poco eficaz","Nada eficaz","Bastante eficaz","Poco eficaz","El propio consumidor","Malo","Malo","No precisa","Malo","Malo","Bueno","Malo","Bueno","Bueno","Muy malo","Muy malo","Malo","En la resolución de secuestros","No",NA,"No",NA,NA,4,"Superior universitaria completa","Asalariado sector privado","Funcionario profesional del sector público / ejecutivo profe","Otra persona","Superior universitaria completa","Asalariado sector público","Pequeño empresario (5 a 20 trabajadores)","Water / inodoro",3,"Sí","Sí","Sí","Sí","Mejores","No precisa","Mestizo","30 a 44","Casa independiente","Medio","Asfaltado en buen estado","Plano","150114            ","Lima Moderna","B","A/B","Lima Moderna - Hombres",1.10231081899617,1.25147513734832,84.4064119138632,500,4
"112",123,"Femenino",56,"No precisa","Desaprueba","Desaprueba","Aprueba","No precisa",NA,"Desaprueba","No precisa","Desaprueba","Aprueba","Poca","Ninguna","Mucha","Ninguna","Mucha","Ninguna","Ninguna","Poca","Regular","Peor","Informado","La gente que vive en Lima","Los dueños de las grandes empresas","Ambos por igual","Ambos por igual","Insatisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover la economía privada de mercado es la única forma en","5","5","Mucho peor","Permanecerá igual","Permanece igual","Permanecerá igual","Nada justificable","Apoyar los intereses políticos de algunos grupos de oposició","Buscar desestabilizar al gobierno","Estoy algo en desacuerdo con ellas","El gobierno","Poco impacto","Mucho impacto","Muy tolerante","Ninguna influencia","No","No","No","Sí","Sí","Ninguno/Nadie","Ninguno/Nadie","Son creativos","Quieren y valoran a su país","Calificación técnica insuficiente","Programa de empleo juvenil",NA,"Buscar trabajo","Mal","Regular","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","No","Serán peores que los adultos de hoy","Algo","Sí","Sí","En desacuerdo","De acuerdo","En desacuerdo","Es muy difícil confiar en los demás","","Ser de utilidad a la sociedad","La violencia (inseguridad ciudadana, pandillaje, terrorismo)","En desacuerdo","En desacuerdo","En desacuerdo","En desacuerdo","Hurto sin violencia","Violencia callejera","Corrupción","Robo en vivienda o local","Mucha frecuencia","Regular frecuencia","Poca frecuencia","Mucha frecuencia","Poca frecuencia","Mucha frecuencia","Mucha frecuencia","Mucha frecuencia","Poca frecuencia","Mucha frecuencia","Sí","Sí","No precisa","No","Evitar caminar por zonas apartadas o por lugares que conside",NA,NA,NA,NA,NA,NA,NA,NA,NA,"La pobreza y las desigualdades sociales","El desempleo","La escasez de medios de la Policía","No",NA,NA,"Ha aumentado mucho","Bastante eficaz","Bastante eficaz","Poco eficaz","Poco eficaz","Nada eficaz","Bastante eficaz","Bastante eficaz","Todos","Muy malo","Malo","Malo","Malo","Muy malo","Malo","Malo","Malo","Malo","Malo","Bueno","Malo","En la desactivación de explosivos","No",NA,"No",NA,NA,4,"Superior técnica incompleta","Ama de casa",NA,"Otra persona","Superior universitaria incompleta","Independiente / cuenta propia","Pequeño comerciante con puesto / Microempresario (menos de 5","Water / inodoro",2,"No","Sí","No","No","Iguales","Entre 1001 y 1500","Mestizo","45 a más","Casa independiente","Medio","Asfaltado en regular o mal estado","Plano","150116            ","Lima Moderna","C","C","Lima Moderna - Mujeres",1.03341639280891,-1.52508887903051,23.4265895051327,45,2
"113",125,"Masculino",71,"Aprueba","Aprueba","Desaprueba","Aprueba","Por otros aspectos positivos",NA,"Desaprueba","Desaprueba","Aprueba","Desaprueba","Poca","Poca","Mucha","Poca","Poca","Ninguna","Ninguna","Poca","Regular","No precisa","Bien Infromado","La gente que vive en Lima","Los dueños de las grandes empresas","La gente de clase alta, los ricos","Los empresarios extranjeros","Insatisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover una mayor participación del Estado en la economía e","No precisa","No precisa","Mucho peor","Permanecerá igual","Algo mejor","Mejorará algo","Nada justificable","La falta de empleo","Los bajos salarios / sueldos","Estoy totalmente en desacuerdo con ellas","El gobierno","Poco impacto","Mucho impacto","Tolerante","Mucha influencia","Sí","Sí","No","No","Sí","Ninguno/Nadie","El gobierno","No tienen interés en cambiar su realidad","Son pesimistas con su futuro","Bajas remuneraciones","Programa de control y rehabilitación del uso de drogas",NA,"Estudiar una carrera técnica","Regular","Bien","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","Sí","Serán mejores que los adultos de hoy","Nada","Sí","Sí","De acuerdo","De acuerdo","De acuerdo","No precisa","Muy satisfecho","Ser de utilidad a la sociedad","La violencia (inseguridad ciudadana, pandillaje, terrorismo)","De acuerdo","En desacuerdo","En desacuerdo","En desacuerdo","Violaciones, abusos o acosos sexuales","Asaltos con armas","Secuestro","Abusos o coacciones por parte de agentes de la autoridad","Ninguna frecuencia","Ninguna frecuencia","Regular frecuencia","Ninguna frecuencia","Ninguna frecuencia","Mucha frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","No","No","No","Sí","No llevar joyas u objetos valiosos a la vista",NA,NA,NA,NA,NA,NA,NA,NA,NA,"El consumo de drogas","La poca eficacia de la Policía","El mal funcionamiento de la justicia","No",NA,NA,"Ha aumentado algo","Bastante eficaz","Bastante eficaz","Bastante eficaz","Poco eficaz","Bastante eficaz","Bastante eficaz","Bastante eficaz","Las autoridades del Estado","Malo","Malo","Malo","Bueno","Bueno","Bueno","Bueno","Bueno","Malo","Malo","Malo","Malo","En la lucha contra la delincuencia callejera","No",NA,"No",NA,NA,15,"Superior universitaria incompleta","Asalariado sector público","Empleado no profesional de rango medio (cajero, vendedor)","El propio entrevistado",NA,NA,NA,"Water / inodoro",1,"No","Sí","Sí","Sí","Iguales","Entre 1001 y 1500","No precisa","45 a más","Casa independiente","Medio","Asfaltado en regular o mal estado","Plano","150116            ","Lima Moderna","C","C","Lima Moderna - Hombres",1.10231081899617,1.14853584320758,82.1456248984898,474,4
"114",126,"Femenino",28,"Aprueba","Aprueba","Aprueba","Aprueba","Por el progreso y crecimiento económico del país",NA,"Desaprueba","Aprueba","Aprueba","Desaprueba","Alguna","Alguna","Mucha","Alguna","Alguna","Alguna","Ninguna","Mucha","Buena","Mejor","Informado","Ambos por igual","Ambos por igual","Ambos por igual","Ambos por igual","Satisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover la economía privada de mercado es la única forma en","8","6","Permanece igual","Mejorará algo","Algo mejor","Mejorará algo","Nada justificable","Apoyar los intereses políticos de algunos grupos de oposició","Buscar desestabilizar al gobierno","Me siento indiferente / neutral","No precisa","Poco impacto","Algún impacto","Tolerante","Alguna influencia","No","No","Sí","Sí","Sí","Ninguno/Nadie","Los sindicatos (la GCTP)","No precisa",NA,"Bajo nivel educativo","Programa de educación en salud sexual y reproductiva","Programa de empleo juvenil","Estudiar una carrera técnica","Regular","Regular","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","En desacuerdo","Sí","Serán mejores que los adultos de hoy","Algo","Sí","Sí","En desacuerdo","De acuerdo","De acuerdo","Es muy difícil confiar en los demás","","Ser autosuficiente, no depender de nadie","Los embarazos no deseados","En desacuerdo","En desacuerdo","En desacuerdo","En desacuerdo","Amenazas e intimidaciones","Violencia callejera","Venta de drogas","Actos de vandalismo","Regular frecuencia","Regular frecuencia","Regular frecuencia","Regular frecuencia","Ninguna frecuencia","Poca frecuencia","Regular frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","No","No","No","Sí","Evitar caminar por zonas apartadas o por lugares que conside",NA,NA,NA,NA,NA,NA,NA,NA,NA,"El consumo de drogas","La poca dureza de las penas","La falta de colaboración ciudadana","No",NA,NA,"Se mantiene igual","Bastante eficaz","Bastante eficaz","Bastante eficaz","Bastante eficaz","Poco eficaz","Bastante eficaz","Bastante eficaz","El propio consumidor","Bueno","Bueno","Bueno","Bueno","Malo","Bueno","Malo","Bueno","Malo","Malo","Malo","Malo","En la resolución de secuestros","No",NA,"No",NA,NA,2,"Secundaria completa","Ama de casa",NA,"Otra persona","Superior universitaria completa","Retirado / jubilado",NA,"Water / inodoro",1,"No","Sí","Sí","Sí","Iguales","Entre 2001 y 3000","Mestizo","18 a 29","Casa independiente","Medio","Asfaltado en regular o mal estado","Plano","150116            ","Lima Moderna","B","A/B","Lima Moderna - Mujeres",1.03341639280891,0.255664646338169,62.5360907052257,308,1
"115",127,"Femenino",43,"No precisa","No precisa","Aprueba","Aprueba","No precisa",NA,"Desaprueba","Desaprueba","Desaprueba","Desaprueba","Poca","Poca","Poca","Ninguna","Poca","Ninguna","Ninguna","Poca","Regular","Igual","Medianamente informado","Ambos por igual","Los dueños de las grandes empresas","No precisa","Los empresarios nacionales","Satisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover una mayor participación del Estado en la economía e","5","10","Permanece igual","Mejorará algo","Algo peor","Empeorará algo","Nada justificable","El alza o la subida de precios de algunos productos de la ca","La falta de empleo","Me siento indiferente / neutral","El gobierno","Ningún impacto","Algún impacto","Tolerante","Poca influencia","No","No","Sí","Sí","Sí","Ninguno/Nadie","No precisa","Son individualistas","Son creativos","Bajo nivel educativo","Programa de educación en salud sexual y reproductiva",NA,"Iniciar un negocio","Muy mal","Regular","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Sí","No precisa","Algo","Sí","Sí","De acuerdo","En desacuerdo","De acuerdo","Se puede confiar en la mayoría de la gente","","Ser autosuficiente, no depender de nadie","El SIDA","En desacuerdo","De acuerdo","En desacuerdo","En desacuerdo","Hurto sin violencia","Venta de drogas",NA,"Atraco (con violencia o amenaza)","Mucha frecuencia","Mucha frecuencia","Mucha frecuencia","Regular frecuencia","Ninguna frecuencia","Poca frecuencia","Mucha frecuencia","Mucha frecuencia","Poca frecuencia","Poca frecuencia","No","No","No","No","No salir de noche sin compañía",NA,NA,NA,NA,NA,NA,NA,NA,NA,"El consumo de drogas","La pobreza y las desigualdades sociales","Las carencias afectivas en el hogar","Sí","Robo al paso (de bolso, cartera, celular)","Algo","Ha aumentado mucho","Nada eficaz","Muy eficaz","Muy eficaz","Muy eficaz","Nada eficaz","Muy eficaz","Muy eficaz","La familia","Malo","Bueno","Muy malo","Muy malo","Bueno","Muy bueno","Bueno","Bueno","Bueno","Malo","Bueno","Malo","En la lucha contra las drogas","Sí","Satisfactorio","No",NA,NA,6,"Superior universitaria incompleta","Independiente / cuenta propia","Pequeño comerciante con puesto / Microempresario (menos de 5","Otra persona","Superior universitaria completa","Asalariado sector privado","Suboficial de las FFAA o Policía","Water / inodoro",2,"No","Sí","Sí","Sí","Iguales","Entre 5001 y 10000","Mestizo","30 a 44","Casa independiente","Medio","Asfaltado en regular o mal estado","Plano","150116            ","Lima Moderna","B","A/B","Lima Moderna - Mujeres",1.03341639280891,-1.04652366162291,33.9369979799105,102,3
"116",128,"Masculino",18,"Desaprueba","Desaprueba","Desaprueba","Aprueba","No precisa",NA,"Aprueba","Desaprueba","Desaprueba","Desaprueba","Ninguna","Ninguna","Poca","Ninguna","Poca","Poca","Poca","Ninguna","Mala","Igual","Medianamente informado","La gente que vive en Lima","Los dueños de las grandes empresas","La gente de clase alta, los ricos","Los empresarios extranjeros","Insatisfecho","A veces un gobierno autoritario o una dictadura puede ser pr","Promover una mayor participación del Estado en la economía e","7","0","Permanece igual","Permanecerá igual","Permanece igual","Permanecerá igual","Algo justificable","El alza o la subida de precios de algunos productos de la ca","La falta de empleo","Simpatizo con ellas","Ninguno de los dos","Poco impacto","Mucho impacto","Tolerante","Poca influencia","No","No","No","Sí","Sí","Los sindicatos (la GCTP)","El gobierno","Son individualistas","Son rebeldes","Falta de oportunidades de trabajo","Programa de empleo juvenil",NA,"Estudiar una carrera técnica","Mal","Regular","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","En desacuerdo","No","Serán iguales que los adultos de hoy","Poco","Sí","No","De acuerdo","En desacuerdo","En desacuerdo","Es muy difícil confiar en los demás","","Poder trabajar en lo que me gusta","La falta de trabajo","En desacuerdo","En desacuerdo","De acuerdo","De acuerdo","Terrorismo","Secuestro","Venta de drogas","Atraco (con violencia o amenaza)","Mucha frecuencia","Poca frecuencia","Poca frecuencia","Poca frecuencia","Ninguna frecuencia","Poca frecuencia","Regular frecuencia","Poca frecuencia","Ninguna frecuencia","Poca frecuencia","No","No","No","No","No llevar mucho dinero consigo","No salir de noche sin compañía",NA,NA,NA,NA,NA,NA,NA,NA,"La pobreza y las desigualdades sociales","El desempleo","El bajo nivel educativo","Sí","Atraco (con violencia o amenaza)","Algo","Ha aumentado algo","Poco eficaz","Bastante eficaz","Poco eficaz","Poco eficaz","Muy eficaz","Bastante eficaz","Poco eficaz","Ninguno","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","En la protección de funcionarios","No",NA,"Sí","Pelea / alteración del orden público","Se resolvió injustamente",3,"Secundaria completa","Estudiante",NA,"Otra persona","Superior técnica completa","Asalariado sector público","Obrero especializado, mecánico, electricista","Water / inodoro",1,"No","Sí","Sí","Sí","Peores","No precisa","Mestizo","18 a 29","Casa independiente","Medio","Asfaltado en regular o mal estado","Plano","150116            ","Lima Moderna","C","C","Lima Moderna - Hombres",1.10231081899617,0.324265578854449,64.0427272017153,326,1
