"","NRO","SEXO","EDAD","P1A","P1B","P1C","P1D","P2A","P2B","P2C","P2D","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16.1","P16.2","P16.3","P16.4","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27","P28","P29","P30","P31","P32A","P32B","P32C","P32D","P32E","P32F","P32G","P32H","P32I","P32J","P33A","P33B","P33C","P34A","P34B","P35","P36","P37","P38","P39","P40","P41A","P41B","P41C","P41D","P41E","P42A","P42B","P42C","P42D","P42E","P42F","P42G","P42H","P43A","P43B","P43C","P43D","P43E","P44A","P44B","P44C","P44D","P44E","P44F","P44G","P45.1","P45.2","P45.3","P46_1","P46_2","P47.1","P47.2","P47.3","P48","P49","P50","P51.01","P51.02","P51.03","P51.04","P51.05","P51.06","P51.07","P51.08","P51.09","P51.10","P51.11","P51.12","P52","P53A","P53B","P53C","P53D","P53E","P53F","P53G","P54","P55A","P55B","P55C","P55D","P55E","P55F","P55G","P56A","P56B","P56C","P56D","P56E","P57","P58","P59","P60","P61","P62","TFAM","NIVEDU","OCUPA","TRAB","JEFE","JNIVEDU","JOCUPA","JTRAB","SERVHI","BANOS","DOMES","CGAS","REFRI","LAVA","COMPRAS","INGRESO","IDENETNICA","GEDAD","TIPOVIVI","AVIVI","PISTAS","NIVEL","UBIGEO09","estrato","nse1","nsegrup","PESO","UBIGEO09","inseguridad09","inseguridad09100","rank_inseguridad09100","adaptk.cluster"
"37",680,"Masculino",27,"Desaprueba","Desaprueba","Desaprueba","Desaprueba","Desaprueba","Desaprueba","Aprueba","Desaprueba","Regular","Igual","Informado","Algo interesado","No precisa","Me da lo mismo un tipo de gobierno u otro","La democracia puede funcionar sin congreso o parlamento","La democracia puede funcionar sin partidos políticos","Promover la economía privada de mercado es la única forma en","No",NA,NA,"No precisa","Ollanta Humala","Lourdes Flores","Keiko Fujimori",NA,"Alejandro Toledo","Luis Castañeda","No precisa","Luis Castañeda","Mucho mejor","No precisa","Mucho peor","Mejorará algo","Promover campañas de solidaridad y quedarse con lo entregado","Nada honesto","Poco Grave","Algo menos corrupto","Igual","Alan García Pérez (85-90)","Más corrupto que los otros","Muy corrupta","Muy corrupta","","","","","Muy corrupta","Muy corrupta","",7,"Poco eficiente","Poco eficiente","Nada eficiente","Muy de acuerdo","En desacuerdo","Ricos","Los políticos","Contar con buenas leyes","Prisión efectiva","Otro","No precisa","No aplica","","","","No precisa","","",NA,NA,"","","","","Sí","Sí","No","No","Sí","Sí","Sí","Sí","No","No","No","No","Robo en vivienda o local","Robo en cajeros","Agresión física personal (no sexual)","Agresión física personal (no sexual)","Robo en vivienda o local","El consumo de drogas","El desempleo","La poca dureza de las penas","No",NA,NA,"No llevar mucho dinero consigo ni objetos de valor","Tener algún arma u objeto defensivo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha aumentado mucho","Nada eficaz","Bastante eficaz","No precisa","Bastante eficaz","Muy eficaz","No precisa","Muy eficaz","La familia","No precisa","Malo","Malo","No precisa","No precisa","Muy malo","Muy malo","Muy malo","No precisa","No precisa","Muy malo","No precisa","La prevención de los desórdenes públicos","No",NA,"No",NA,NA,7,"Superior técnica completa","Asalariado sector privado","Empleado poco especializado (vigilante, mensajero)","El entrevistado y otra persona en partes iguales",NA,NA,NA,"Water / inodoro",2,"No","Sí","Sí","No","Iguales","Entre 601 y 1000","Mestizo","18 a 29","Casa independiente","Medio","Tierra afirmada","Inclinado","150143            ","Lima Sur","C","C",0.974300959895075,"150143            ",0.140175637268239,47.307596973484,290,1
"38",138,"Femenino",33,"Desaprueba","Desaprueba","Desaprueba","Desaprueba","Desaprueba","Desaprueba","Desaprueba","Desaprueba","Mala","Igual","Medianamente informado","Nada interesado","Insatisfecho","La democracia es preferible a cualquier otra forma de gobier","La democracia puede funcionar sin congreso o parlamento","No precisa","Promover la economía privada de mercado es la única forma en","Si","","","No precisa","No precisa",NA,NA,NA,"No precisa","No precisa","No precisa","Luis Castañeda","Permanece igual","Permanecerá igual","Permanece igual","Empeorará algo","Apropiarse de dinero o propiedades públicas","Nada honesto","Muy grave","Igual de corrupto","Igual","Otro","Tan corrupto como los otros","","","Muy corrupta","","Muy corrupta","Muy corrupta","Muy corrupta","","",9,"Poco eficiente","Nada eficiente","Nada eficiente","De acuerdo","En desacuerdo","Ricos","Los políticos","La participación de los ciudadanos en general","Establecer penas y reparaciones muy altas","Tranquilidad","","No aplica","No aplica","","","","","",NA,NA,"","","","","No","No","No precisa","No","No","No","Sí","Sí","No precisa","No precisa","Sí","Sí","Robo al paso (de bolso, cartera, celular)","Robo en cajeros","Actos de vandalismo y violencia callejera","Robo en cajeros","Actos de vandalismo y violencia callejera","El consumo de drogas","El desempleo","El mal funcionamiento de la justicia","No",NA,NA,"No llevar mucho dinero consigo ni objetos de valor","Buscar paraderos iluminados y concurridos","Anotar placa del taxi","Cambiar de rutas con frecuencia","No subir a un bus vacío","Evitar contacto con extraños en la calle",NA,NA,NA,NA,NA,NA,"Ha aumentado mucho","Nada eficaz","Muy eficaz","Muy eficaz","Poco eficaz","Poco eficaz","Bastante eficaz","Poco eficaz","El propio consumidor","Ni bueno, ni malo","Ni bueno, ni malo","Bueno","Bueno","Bueno","Bueno","Bueno","Bueno","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","La atención a las víctimas de delitos","No",NA,"No",NA,NA,5,"Superior universitaria completa","Independiente / cuenta propia","Profesional independiente o profesor universitario","El entrevistado y otra persona en partes iguales",NA,NA,NA,"Water / inodoro",2,"No","Sí","Sí","No","Iguales","No precisa","Blanco","30 a 44","Casa independiente","Medio","Asfaltado en buen estado","Plano","150121            ","Lima Moderna","B","A/B",1.1367580320898,"150121            ",-0.0258955393769481,44.8806516108681,252,1
"39",180,"Masculino",30,"Desaprueba","Desaprueba","Desaprueba","Aprueba","Desaprueba","No precisa","No precisa","No precisa","Regular","Peor","Poco informado","Poco interesado","No precisa","La democracia es preferible a cualquier otra forma de gobier","Sin un congreso o parlamento no puede haber democracia","La democracia puede funcionar sin partidos políticos","Promover una mayor participación del Estado en la economía e","No",NA,NA,"No precisa","Ollanta Humala",NA,NA,NA,"No precisa","Luis Castañeda","No precisa","No precisa","Permanece igual","Permanecerá igual","Algo mejor","No precisa","Apropiarse de dinero o propiedades públicas","Poco honesto","Muy grave","Igual de corrupto","No precisa","No precisa","Tan corrupto como los otros","","","","","","","","","",99,"Poco eficiente","Poco eficiente","Poco eficiente","De acuerdo","En desacuerdo","Ricos","Los políticos","Contar con buenas leyes","Un Poder Judicial más efectivo y menos corrupto","Confianza","","No precisa","No precisa","","No precisa","No precisa","","","",NA,"","",NA,NA,"No","No","No","No","No","No","No precisa","No precisa","No","No precisa","No precisa","No precisa","Robo de objetos en su vehículo","Amenazas o intimidaciones","Actos de vandalismo y violencia callejera","Actos de vandalismo y violencia callejera","No precisa","El consumo de drogas","El desempleo","El bajo nivel educativo","No",NA,NA,"No precisa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Se mantiene igual","Nada eficaz","Bastante eficaz","No precisa","No precisa","Nada eficaz","Bastante eficaz","No precisa","La familia","Malo","Malo","Ni bueno, ni malo","No precisa","Muy malo","Muy malo","Malo","Malo","Ni bueno, ni malo","No precisa","Malo","Malo","Ninguno","No",NA,"No",NA,NA,4,"Secundaria completa","Asalariado sector privado","Obrero especializado, mecánico, electricista","El propio entrevistado",NA,NA,NA,"Water / inodoro",1,"No","Sí","No","No","Iguales","Entre 601 y 1000","No precisa","30 a 44","Casa independiente","Popular","Asfaltado en regular o mal estado","Plano","150136            ","Lima Moderna","D","D/E",1.1367580320898,"150136            ",0.13614272425284,47.2486604395335,289,1
"40",202,"Masculino",66,"Desaprueba","Desaprueba","Desaprueba","Desaprueba","No precisa","Aprueba","Aprueba","Desaprueba","Muy mala","Igual","Bien informado","Muy interesado","No precisa","La democracia es preferible a cualquier otra forma de gobier","Sin un congreso o parlamento no puede haber democracia","Sin partidos políticos no puede haber democracia","Promover la economía privada de mercado es la única forma en","Si","","","Lourdes Flores","Otros",NA,NA,NA,"Alejandro Toledo","No precisa","No precisa","No precisa","Algo peor","Permanecerá igual","Algo peor","Permanecerá igual","Otro","Poco honesto","Muy grave","Igual de corrupto","Igual","Alan García Pérez (85-90)","Tan corrupto como los otros","Muy corrupta","Muy corrupta","Muy corrupta","No precisa","Muy corrupta","Muy corrupta","Muy corrupta","Muy corrupta","Muy corrupta",99,"Poco eficiente","Poco eficiente","Poco eficiente","De acuerdo","De acuerdo","No precisa","Los grandes empresarios peruanos","Un trabajo eficiente de instituciones especializadas en el c","Someterlos a la vergüenza pública","Tranquilidad","","","","","No precisa","","Nada Segura","Nada Segura",NA,NA,"Nada Segura",NA,NA,NA,"No","No","No","No","No","Sí","Sí","Sí","No","No","No","No","Atraco (con violencia o amenaza) y Asaltos con armas","Robo en vivienda o local","Fraude o estafa","Atraco (con violencia o amenaza) y Asaltos con armas","Robo en vivienda o local","La pobreza y las desigualdades sociales","La poca eficacia de la Policía","Las carencias afectivas en el hogar","No",NA,NA,"Tener algún arma u objeto defensivo","Evitar los estacionamientos oscuros y mal vigilados","No subir a un bus vacío",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha aumentado algo","Bastante eficaz","Bastante eficaz","Bastante eficaz","Bastante eficaz","Nada eficaz","Bastante eficaz","Bastante eficaz","Las autoridades del Estado","Malo","Muy malo","Malo","Malo","Malo","Malo","Malo","Ni bueno, ni malo","Malo","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","Ninguno","No",NA,"No",NA,NA,5,"Superior universitaria incompleta","Independiente / cuenta propia","Empleado de rango intermedio del sector privado","El propio entrevistado",NA,NA,NA,"Water / inodoro",5,"No","Sí","Sí","Sí","Iguales","Entre 3001 y 5000","Mestizo","45 a más","Casa independiente","Residencial","Asfaltado en buen estado","Plano","150140            ","Lima Moderna","B","A/B",1.1367580320898,"150140            ",-0.927583816873455,31.7034812685955,89,3
"41",205,"Femenino",21,"Aprueba","No precisa","No precisa","Aprueba","Desaprueba","Aprueba","Desaprueba","Desaprueba","Mala","Peor","Medianamente informado","Algo interesado","Insatisfecho","A veces un gobierno autoritario o una dictadura es preferibl","Sin un congreso o parlamento no puede haber democracia","Sin partidos políticos no puede haber democracia","No precisa","No",NA,NA,"Lourdes Flores","Ollanta Humala",NA,NA,NA,"No precisa","Luis Castañeda","No precisa","Luis Castañeda","Algo mejor","Mejorará algo","Algo mejor","Mejorará algo","Apropiarse de dinero o propiedades públicas","Algo honesto","Algo grave","Igual de corrupto","Igual","Alberto Fujimori Fujimori (90-2001)","Tan corrupto como los otros","Muy corrupta","Muy corrupta","Muy corrupta","Muy corrupta","Muy corrupta","Muy corrupta","Muy corrupta","Muy corrupta","Muy corrupta",8,"Poco eficiente","Poco eficiente","Poco eficiente","En desacuerdo","De acuerdo","Ambos igual","Los políticos","No precisa","Prisión efectiva","Tranquilidad","No precisa","","","","","","Nada Segura","Nada Segura",NA,NA,"",NA,NA,NA,"No","No","No","No","No","Sí","Sí","Sí","No","No","No","No","Atraco (con violencia o amenaza) y Asaltos con armas","Secuestros","Venta de drogas","Atraco (con violencia o amenaza) y Asaltos con armas","Secuestros","El consumo de drogas",NA,NA,"Sí","Atraco (con violencia o amenaza) y asaltos con armas","Mucho","No salir sin compañía","Verificar que las puertas del auto estén bien cerradas o la ","Anotar placa del taxi",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No precisa","Bastante eficaz","Bastante eficaz","Bastante eficaz","Bastante eficaz","Nada eficaz","Bastante eficaz","Bastante eficaz","No precisa","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Bueno","Bueno","Bueno","Bueno","Bueno","No precisa","No",NA,"Sí","Otro","Se resolvió injustamente",9,"Superior universitaria incompleta","Estudiante",NA,"Otra persona","Superior universitaria completa","Independiente / cuenta propia","Pequeño comerciante con puesto / Microempresario (menos de 5","Water / inodoro",1,"No","Sí","Sí","No","Mejores","Entre 1001 y 1500","Mestizo","18 a 29","Casa independiente","Popular","Asfaltado en buen estado","Plano","150140            ","Lima Moderna","C","C",1.1367580320898,"150140            ",-0.492606202436981,38.0601948508313,152,3
"42",217,"Femenino",26,"Aprueba","Aprueba","Aprueba","Desaprueba","Desaprueba","Desaprueba","Desaprueba","Desaprueba","Buena","No precisa","Medianamente informado","Poco interesado","Satisfecho","A veces un gobierno autoritario o una dictadura es preferibl","Sin un congreso o parlamento no puede haber democracia","La democracia puede funcionar sin partidos políticos","Promover una mayor participación del Estado en la economía e","Si","","","No precisa","Keiko Fujimori","Alejandro Toledo","Luis Castañeda",NA,"No precisa","No precisa","Luis Castañeda","No precisa","Permanece igual","Mejorará algo","Permanece igual","No precisa","Apropiarse de dinero o propiedades públicas","Poco honesto","Muy grave","Algo menos corrupto","Mucho mejor","Alejandro Toledo Manrique (2001-2006)","Menos corrupto que los otros","","","","","","","","Muy corrupta","",10,"Poco eficiente","Poco eficiente","Eficiente","Muy de acuerdo","Muy de acuerdo","Ricos","Los políticos","La participación de los ciudadanos en general","Establecer penas y reparaciones muy altas","Confianza","","","","","","","","","",NA,"","","","","Sí","No","No","No","No","Sí","Sí","Sí","No","Sí","No","Sí","Atraco (con violencia o amenaza) y Asaltos con armas","Actos de vandalismo y violencia callejera","Venta de drogas","Atraco (con violencia o amenaza) y Asaltos con armas","Actos de vandalismo y violencia callejera","El consumo de drogas","La pobreza y las desigualdades sociales","El desempleo","Sí","Robo al paso (de bolso, cartera, celular)","Mucho","No llevar mucho dinero consigo ni objetos de valor","Buscar paraderos iluminados y concurridos","Cambiar de rutas con frecuencia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha aumentado mucho","Bastante eficaz","Bastante eficaz","Bastante eficaz","Bastante eficaz","Bastante eficaz","Bastante eficaz","Bastante eficaz","La familia","Ni bueno, ni malo","Bueno","Ni bueno, ni malo","Bueno","Ni bueno, ni malo","Bueno","Bueno","Bueno","Ni bueno, ni malo","Bueno","Bueno","Bueno","La atención a las víctimas de delitos","No",NA,"No",NA,NA,4,"Secundaria completa","Independiente / cuenta propia","Pequeño comerciante con puesto / Microempresario (menos de 5","Otra persona","Superior técnica completa","Asalariado sector privado","Obrero especializado, mecánico, electricista","Water / inodoro",1,"No","Sí","Sí","Sí","Iguales","Entre 300 y 600","Mestizo","18 a 29","Casa independiente","Popular","Asfaltado en regular o mal estado","Plano","150141            ","Lima Moderna","C","C",1.1367580320898,"150141            ",-0.0422868046323843,44.6411115172607,248,1
"43",244,"Femenino",62,"Desaprueba","Desaprueba","Desaprueba","Aprueba","Aprueba","Aprueba","Desaprueba","Desaprueba","Muy mala","Peor","Poco informado","Algo interesado","Insatisfecho","No precisa","La democracia puede funcionar sin congreso o parlamento","La democracia puede funcionar sin partidos políticos","Promover una mayor participación del Estado en la economía e","No",NA,NA,"Ollanta Humala","Alejandro Toledo",NA,NA,NA,"Ollanta Humala","Luis Castañeda","No precisa","Luis Castañeda","Algo peor","Empeorará algo","Mucho peor","Empeorará algo","Conseguir beneficios particulares aprovechando un cargo públ","Algo honesto","Muy grave","Mucho más corrupto","Algo peor","Alan García Pérez (85-90)","Más corrupto que los otros","Muy corrupta","Muy corrupta","Muy corrupta","Muy corrupta","Muy corrupta","","Muy corrupta","","No precisa",5,"Poco eficiente","Nada eficiente","Nada eficiente","De acuerdo","De acuerdo","Ambos igual","Los grandes empresarios extranjeros","La participación de los ciudadanos en general","Educación en valores en las escuelas y las familias","Tranquilidad","","No aplica","","","No aplica","No precisa","Nada Segura","Nada Segura","",NA,"",NA,"Nada Segura",NA,"No","No","No","No","No","Sí","Sí","Sí","No","No","Sí","Sí","Atraco (con violencia o amenaza) y Asaltos con armas","Robo al paso (de bolso, cartera, celular)","Venta de drogas","Atraco (con violencia o amenaza) y Asaltos con armas","Robo en vivienda o local","El consumo de drogas","La pobreza y las desigualdades sociales","El desempleo","No",NA,NA,"Buscar paraderos iluminados y concurridos","Evitar contacto con extraños en la calle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha aumentado algo","Poco eficaz","Bastante eficaz","Bastante eficaz","Bastante eficaz","Nada eficaz","Muy eficaz","Poco eficaz","La familia","Malo","Malo","Malo","No precisa","Malo","Ni bueno, ni malo","Malo","Malo","Malo","Malo","Ni bueno, ni malo","Malo","Ninguno","No",NA,"No",NA,NA,6,"Primaria completa","Ama de casa",NA,"Otra persona","Primaria completa","Retirado / jubilado",NA,"Water / inodoro",1,"No","Sí","Sí","No","Peores","Entre 300 y 600","Otro","45 a más","Casa independiente","Medio","Asfaltado en regular o mal estado","Plano","150110            ","Lima Norte","D","D/E",0.968266199830047,"150110            ",-1.08502408622983,29.4026670073717,74,3
"44",246,"Femenino",42,"Desaprueba","Desaprueba","Desaprueba","Aprueba","Desaprueba","Aprueba","Desaprueba","Desaprueba","Regular","Igual","Medianamente informado","Nada interesado","Insatisfecho","A veces un gobierno autoritario o una dictadura es preferibl","La democracia puede funcionar sin congreso o parlamento","La democracia puede funcionar sin partidos políticos","Promover una mayor participación del Estado en la economía e","No",NA,NA,"No precisa","Alejandro Toledo",NA,NA,NA,"No precisa","Luis Castañeda","No precisa","Luis Castañeda","Permanece igual","Permanecerá igual","Permanece igual","Empeorará algo","Promover campañas de solidaridad y quedarse con lo entregado","Poco honesto","Muy grave","Igual de corrupto","Igual","Alan García Pérez (85-90)","Tan corrupto como los otros","Muy corrupta","Muy corrupta","Muy corrupta","Muy corrupta","Muy corrupta","","","","",5,"Nada eficiente","Nada eficiente","Nada eficiente","De acuerdo","De acuerdo","Ricos","Los políticos","Contar con buenas leyes","Un Poder Judicial más efectivo y menos corrupto","Garantía","","","","","","No precisa","","Nada Segura","",NA,"","","Nada Segura","","Sí","Sí","No","No","No","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Atraco (con violencia o amenaza) y Asaltos con armas","Violaciones, abusos o acosos sexuales","Venta de drogas","Robo en vivienda o local","Robo por internet","La pobreza y las desigualdades sociales","El desempleo","La poca eficacia de la Policía","Sí","Robo al paso (de bolso, cartera, celular)","Mucho","No llevar mucho dinero consigo ni objetos de valor","Tener algún arma u objeto defensivo","Anotar placa del taxi",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha aumentado mucho","Poco eficaz","Poco eficaz","Poco eficaz","Bastante eficaz","Nada eficaz","Bastante eficaz","Poco eficaz","Todos","Bueno","Bueno","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","Bueno","Malo","Bueno","Bueno","Ni bueno, ni malo","Malo","Malo","La prevención de los desórdenes públicos","Sí","Satisfactorio","No",NA,NA,4,"Superior universitaria completa","Independiente / cuenta propia","Pequeño comerciante con puesto / Microempresario (menos de 5","El entrevistado y otra persona en partes iguales",NA,NA,NA,"Water / inodoro",2,"No","Sí","Sí","Sí","Iguales","Entre 1501 y 2000","No precisa","30 a 44","Casa independiente","Medio","Asfaltado en regular o mal estado","Plano","150110            ","Lima Norte","B","A/B",0.968266199830047,"150110            ",-0.426600530287941,39.0247942663621,165,3
"45",257,"Femenino",35,"No precisa","No precisa","No precisa","Aprueba","Desaprueba","Aprueba","Aprueba","Aprueba","Regular","Igual","Medianamente informado","Algo interesado","Insatisfecho","A veces un gobierno autoritario o una dictadura es preferibl","Sin un congreso o parlamento no puede haber democracia","La democracia puede funcionar sin partidos políticos","Promover una mayor participación del Estado en la economía e","Si","","","Keiko Fujimori","Ollanta Humala",NA,NA,NA,"Keiko Fujimori","Luis Castañeda","No precisa","Luis Castañeda","Permanece igual","Permanecerá igual","Algo peor","Permanecerá igual","Apropiarse de dinero o propiedades públicas","Poco honesto","Muy grave","Algo más corrupto","Igual","Alan García Pérez (85-90)","Tan corrupto como los otros","","Muy corrupta","","Muy corrupta","","","","","",5,"Poco eficiente","Poco eficiente","Poco eficiente","Muy de acuerdo","De acuerdo","Ricos","Los políticos","Un trabajo eficiente de instituciones especializadas en el c","Educación en valores en las escuelas y las familias","Solidez","","","","","","","","","",NA,"","","","","No","No","No","No","No","Sí","No","Sí","No","No","No","No","Robo al paso (de bolso, cartera, celular)","Violaciones, abusos o acosos sexuales","Venta de drogas","Robo en vivienda o local","Atraco (con violencia o amenaza) y Asaltos con armas","El consumo de drogas","Las carencias afectivas en el hogar","La lejanía o la ausencia las comisarías","No",NA,NA,"No llevar mucho dinero consigo ni objetos de valor","Evitar contacto con extraños en la calle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha aumentado mucho","Muy eficaz","Muy eficaz","Poco eficaz","Muy eficaz","Nada eficaz","Muy eficaz","Muy eficaz","La familia","Bueno","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","Muy malo","Muy malo","Ni bueno, ni malo","Muy malo","Muy malo","Muy malo","La protección de los ciudadanos","No",NA,"No",NA,NA,6,"Secundaria completa","Independiente / cuenta propia","Vendedor ambulante","El propio entrevistado",NA,NA,NA,"Water / inodoro",2,"No","Sí","No","No","Iguales","Entre 300 y 600","Quechua","30 a 44","Casa independiente","Popular","Asfaltado en regular o mal estado","Plano","150110            ","Lima Norte","D","D/E",0.968266199830047,"150110            ",-0.168708071160989,42.7936054494669,213,3
"46",279,"Masculino",32,"No precisa","Desaprueba","Desaprueba","Aprueba","Aprueba","Desaprueba","Desaprueba","Desaprueba","Mala","Igual","Medianamente informado","Poco interesado","Insatisfecho","La democracia es preferible a cualquier otra forma de gobier","La democracia puede funcionar sin congreso o parlamento","La democracia puede funcionar sin partidos políticos","Promover la economía privada de mercado es la única forma en","Si","","","Ollanta Humala","No precisa",NA,NA,NA,"Ollanta Humala","Luis Castañeda","No precisa","Luis Castañeda","Permanece igual","Permanecerá igual","Permanece igual","Permanecerá igual","Promover campañas de solidaridad y quedarse con lo entregado","Nada honesto","Muy grave","Algo más corrupto","Igual","Alberto Fujimori Fujimori (90-2001)","Tan corrupto como los otros","","Muy corrupta","","","Muy corrupta","","","Muy corrupta","",8,"Poco eficiente","Nada eficiente","Nada eficiente","De acuerdo","En desacuerdo","Ambos igual","Todos por igual","El rol fiscalizador de los medios de comunicación","Establecer penas y reparaciones muy altas","Solidez","","","","","","","","","",NA,"","","","","No","No","No","No","No","No precisa","No precisa","No precisa","No precisa","No precisa","No precisa","No precisa","Atraco (con violencia o amenaza) y Asaltos con armas","Robo al paso (de bolso, cartera, celular)","Robo en vivienda o local","Atraco (con violencia o amenaza) y Asaltos con armas","Robo al paso (de bolso, cartera, celular)","El consumo de drogas","La pobreza y las desigualdades sociales","El mal funcionamiento de la justicia","No",NA,NA,"Ninguna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha aumentado mucho","Poco eficaz","Bastante eficaz","Bastante eficaz","Bastante eficaz","Nada eficaz","Bastante eficaz","Bastante eficaz","La familia","Ni bueno, ni malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Ninguno","No",NA,"No",NA,NA,3,"Secundaria completa","Independiente / cuenta propia","Obrero poco especializado / de limpieza","El entrevistado y otra persona en partes iguales",NA,NA,NA,"Water / inodoro",1,"No","Sí","Sí","Sí","Iguales","Entre 601 y 1000","Mestizo","30 a 44","Casa independiente","Popular","Asfaltado en buen estado","Muy inclinado","150110            ","Lima Norte","C","C",0.968266199830047,"150110            ",-0.107612094717952,43.6864551281304,233,1
"47",282,"Femenino",24,"Desaprueba","Desaprueba","Aprueba","Desaprueba","Desaprueba","Aprueba","Aprueba","Desaprueba","Mala","Peor","Poco informado","Nada interesado","Muy insatisfecho","Me da lo mismo un tipo de gobierno u otro","No precisa","No precisa","Promover una mayor participación del Estado en la economía e","Si","No precisa","No precisa","No precisa","Ollanta Humala","Alejandro Toledo",NA,NA,"No precisa","Luis Castañeda","No precisa","No precisa","Permanece igual","Empeorará algo","Permanece igual","No precisa","Promover campañas de solidaridad y quedarse con lo entregado","Poco honesto","Muy grave","Mucho más corrupto","Igual","Alberto Fujimori Fujimori (90-2001)","Menos corrupto que los otros","No es corrupta","","","","","","","","",5,"Poco eficiente","No precisa","Poco eficiente","Muy de acuerdo","No precisa","Ricos","Los políticos","La participación de los ciudadanos en general","Educación en valores en las escuelas y las familias","Tranquilidad","","Muy segura","","","","","","","",NA,"",NA,"","","Sí","No","No","No","No","No","Sí","Sí","Sí","No","No","No","Robo al paso (de bolso, cartera, celular)","Fraude o estafa","Agresión física personal (no sexual)","Fraude o estafa","Agresión física personal (no sexual)","La pobreza y las desigualdades sociales","El bajo nivel educativo","La falta de control en las cárceles","No",NA,NA,"No salir sin compañía",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha aumentado mucho","Poco eficaz","Bastante eficaz","Muy eficaz","Bastante eficaz","No precisa","Bastante eficaz","Poco eficaz","La familia","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","No precisa","Ni bueno, ni malo","Bueno","Bueno","Ni bueno, ni malo","Bueno","Ni bueno, ni malo","La prevención de la delincuencia","No",NA,"No",NA,NA,4,"Secundaria incompleta","Ama de casa",NA,"Otra persona","Secundaria completa","Independiente / cuenta propia","Obrero eventual","Water / inodoro",1,"No","Sí","Sí","No precisa","Peores","Entre 601 y 1000","Mestizo","18 a 29","Casa independiente","Medio","Asfaltado en buen estado","Plano","150112            ","Lima Norte","C","C",0.968266199830047,"150112            ",0.32978604018402,50.0785419222475,325,1
"48",283,"Masculino",35,"No precisa","No precisa","No precisa","Desaprueba","Desaprueba","Desaprueba","Desaprueba","Desaprueba","Mala","Peor","Poco informado","Nada interesado","Muy insatisfecho","La democracia es preferible a cualquier otra forma de gobier","Sin un congreso o parlamento no puede haber democracia","Sin partidos políticos no puede haber democracia","Promover una mayor participación del Estado en la economía e","Si","No precisa","No precisa","No precisa","Ollanta Humala","Alejandro Toledo",NA,NA,"Keiko Fujimori","No precisa","No precisa","No precisa","Permanece igual","No precisa","Permanece igual","Permanecerá igual","Participar e incentivar acciones contrarias a la ley para be","Nada honesto","Algo grave","Algo menos corrupto","Algo peor","Alan García Pérez (85-90)","Tan corrupto como los otros","Muy corrupta","","Muy corrupta","","Muy corrupta","Muy corrupta","","","",10,"Nada eficiente","No precisa","No precisa","Muy de acuerdo","Muy de acuerdo","Ricos","Los burócratas","No precisa","Otro","Garantía","Nada Seguro","Nada Segura","Nada Segura","","","","","","",NA,"","","","","No","No","No","No","Sí","No","Sí","Sí","No","Sí","No","No precisa","Fraude o estafa","Amenazas o intimidaciones","Actos de vandalismo y violencia callejera","Actos de vandalismo y violencia callejera","Amenazas o intimidaciones","El consumo de drogas","La pobreza y las desigualdades sociales","Las carencias afectivas en el hogar","No",NA,NA,"No llevar mucho dinero consigo ni objetos de valor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha aumentado mucho","Muy eficaz","Muy eficaz","Muy eficaz","Muy eficaz","No precisa","Bastante eficaz","Muy eficaz","La familia","Malo","Malo","Muy malo","Malo","Malo","No precisa","No precisa","Malo","Malo","No precisa","Malo","No precisa","No precisa","No",NA,"Sí","Faltas de tránsito","Se resolvió de manera alternativa, como coimas, etc.",3,"Secundaria completa","Asalariado sector privado","Empleado poco especializado (vigilante, mensajero)","El propio entrevistado",NA,NA,NA,"Water / inodoro",1,"No","Sí","Sí","No","Peores","Entre 601 y 1000","Mestizo","30 a 44","Casa independiente","Medio","Asfaltado en buen estado","Plano","150112            ","Lima Norte","C","C",0.968266199830047,"150112            ",-0.930667846208414,31.6584116132595,87.5,3
